scenario,wacc_scenario,lcoe_usd_mwh
ap1000,0.04,90.33166665683812
ap1000,0.04,101.96992095388738
ap1000,0.04,98.28935682903155
ap1000,0.04,85.1521884429849
ap1000,0.04,92.38582426129382
ap1000,0.04,103.99026571540367
ap1000,0.04,100.93089537752252
ap1000,0.04,98.49354604345505
ap1000,0.04,92.35616939430467
ap1000,0.04,92.93154499017545
ap1000,0.04,92.19717998043339
ap1000,0.04,90.55953103188115
ap1000,0.04,87.51006998547216
ap1000,0.04,92.59975507479321
ap1000,0.04,84.34607077614147
ap1000,0.04,101.01787064866646
ap1000,0.04,84.41600574472102
ap1000,0.04,87.69457228007832
ap1000,0.04,95.51606716650247
ap1000,0.04,97.12600024555924
ap1000,0.04,89.70510444014101
ap1000,0.04,86.74668801537818
ap1000,0.04,95.10665741768982
ap1000,0.04,92.6044604390238
ap1000,0.04,93.40462240788985
ap1000,0.04,105.81839624063127
ap1000,0.04,95.50865371799699
ap1000,0.04,99.62726860174384
ap1000,0.04,99.03143626340724
ap1000,0.04,89.41692737209534
ap1000,0.04,94.50194182145871
ap1000,0.04,96.64195280103426
ap1000,0.04,99.98157017812193
ap1000,0.04,97.57262144612214
ap1000,0.04,88.92405510675077
ap1000,0.04,81.73103808919898
ap1000,0.04,92.18746044106621
ap1000,0.04,101.25489054967514
ap1000,0.04,96.98242542357241
ap1000,0.04,85.87235449813514
ap1000,0.04,93.61822048781164
ap1000,0.04,105.2749696165671
ap1000,0.04,99.93007907991225
ap1000,0.04,97.33633768126613
ap1000,0.04,92.00751276739074
ap1000,0.04,89.49635811788936
ap1000,0.04,91.38764174562374
ap1000,0.04,86.28800099147503
ap1000,0.04,96.85305052020301
ap1000,0.04,94.82454115512617
ap1000,0.04,97.52583578924197
ap1000,0.04,88.16780605821792
ap1000,0.04,98.32239233948707
ap1000,0.04,92.25018016233922
ap1000,0.04,97.68634358269622
ap1000,0.04,100.25454889304756
ap1000,0.04,93.12612557681848
ap1000,0.04,86.51152978719792
ap1000,0.04,91.12916293161787
ap1000,0.04,87.49979078341435
ap1000,0.04,88.02888860516435
ap1000,0.04,99.89752402808453
ap1000,0.04,87.44160734667636
ap1000,0.04,88.00106710671042
ap1000,0.04,100.45502219701936
ap1000,0.04,106.92777623601458
ap1000,0.04,90.85838553885101
ap1000,0.04,97.23936959337833
ap1000,0.04,94.88960383754707
ap1000,0.04,84.44787657811234
ap1000,0.04,106.1283383022392
ap1000,0.04,96.60569908183479
ap1000,0.04,94.4462762489555
ap1000,0.04,83.22253738420112
ap1000,0.04,86.16196554183188
ap1000,0.04,97.36165956963424
ap1000,0.04,95.81499119738751
ap1000,0.04,92.53929408911976
ap1000,0.04,102.51157339799967
ap1000,0.04,91.90610265651446
ap1000,0.04,93.96290159214672
ap1000,0.04,99.94569675966451
ap1000,0.04,105.84992620724131
ap1000,0.04,90.64668456536658
ap1000,0.04,101.46365643245957
ap1000,0.04,94.30396314303668
ap1000,0.04,94.84924417168018
ap1000,0.04,101.06884110302673
ap1000,0.04,97.75144747250665
ap1000,0.04,91.91785557702494
ap1000,0.04,97.24400344884415
ap1000,0.04,95.8054208263472
ap1000,0.04,103.26424097850293
ap1000,0.04,93.24350018695209
ap1000,0.04,102.22476234806501
ap1000,0.04,83.08696252423074
ap1000,0.04,92.28546042539247
ap1000,0.04,87.08166838670253
ap1000,0.04,91.72389661750154
ap1000,0.04,98.18288856714378
ap1000,0.04,97.7713230023506
ap1000,0.04,97.6934154338265
ap1000,0.04,92.9211731843282
ap1000,0.04,95.18964761916735
ap1000,0.04,91.93763546779978
ap1000,0.04,89.41212050978143
ap1000,0.04,92.28370409607453
ap1000,0.04,85.96933817829732
ap1000,0.04,106.5882850915389
ap1000,0.04,90.35649464517911
ap1000,0.04,93.74915366345111
ap1000,0.04,104.31404175839234
ap1000,0.04,94.91867636108681
ap1000,0.04,92.66741277573094
ap1000,0.04,85.10236125991892
ap1000,0.04,91.21066883583185
ap1000,0.04,82.73472870175881
ap1000,0.04,92.42211932789618
ap1000,0.04,97.16771078192922
ap1000,0.04,100.72428741178197
ap1000,0.04,98.57115801480025
ap1000,0.04,89.08165983080468
ap1000,0.04,94.98144911791883
ap1000,0.04,104.64139417334276
ap1000,0.04,96.66263371095685
ap1000,0.04,86.42555775146158
ap1000,0.04,98.7858805157019
ap1000,0.04,102.12963734629948
ap1000,0.04,83.55029023596701
ap1000,0.04,96.55171469374895
ap1000,0.04,89.84876123793174
ap1000,0.04,86.23013857150461
ap1000,0.04,96.23795547600146
ap1000,0.04,80.70110339016878
ap1000,0.04,100.12699046293436
ap1000,0.04,100.96937217927328
ap1000,0.04,96.79518235288683
ap1000,0.04,88.49158596471541
ap1000,0.04,100.04823631479587
ap1000,0.04,90.40357919105816
ap1000,0.04,88.55806024177599
ap1000,0.04,85.71337238777159
ap1000,0.04,96.13660123013949
ap1000,0.04,87.88435500632905
ap1000,0.04,89.56915481910637
ap1000,0.04,93.890516397497
ap1000,0.04,93.24054676840518
ap1000,0.04,95.13842770495056
ap1000,0.04,102.08003689329335
ap1000,0.04,96.03232114374023
ap1000,0.04,84.9196727309536
ap1000,0.04,100.58545053225406
ap1000,0.04,90.90974544448345
ap1000,0.04,99.54018167508804
ap1000,0.04,92.30679840439906
ap1000,0.04,80.75240538332181
ap1000,0.04,102.03745338981437
ap1000,0.04,84.67844660930841
ap1000,0.04,93.1888913199069
ap1000,0.04,82.41596238086667
ap1000,0.04,93.97634709225758
ap1000,0.04,98.89663453727258
ap1000,0.04,104.38777363674457
ap1000,0.04,81.46030511536111
ap1000,0.04,105.67610792520875
ap1000,0.04,94.64253692397502
ap1000,0.04,83.51998708616169
ap1000,0.04,100.99010493816445
ap1000,0.04,95.16254464680958
ap1000,0.04,91.64128863914075
ap1000,0.04,91.13890543414655
ap1000,0.04,103.28625424804521
ap1000,0.04,89.01732887835696
ap1000,0.04,95.59985324431156
ap1000,0.04,92.56337061219497
ap1000,0.04,91.10428818050679
ap1000,0.04,82.33045756294554
ap1000,0.04,87.52001791848718
ap1000,0.04,97.78540335472225
ap1000,0.04,102.7655621048478
ap1000,0.04,89.9570228326839
ap1000,0.04,97.89369445272227
ap1000,0.04,94.58620602896502
ap1000,0.04,90.26309441443624
ap1000,0.04,98.84996134926024
ap1000,0.04,93.94579691480938
ap1000,0.04,92.12290296380634
ap1000,0.04,88.76311912032905
ap1000,0.04,88.25370509975794
ap1000,0.04,95.80515843659619
ap1000,0.04,88.0138624989524
ap1000,0.04,87.94577186110504
ap1000,0.04,94.55441299242224
ap1000,0.04,96.78061396714429
ap1000,0.04,84.0356096807694
ap1000,0.04,99.67767760989646
ap1000,0.04,91.82073530135433
ap1000,0.04,88.91875774154454
ap1000,0.04,86.85956269628765
ap1000,0.04,94.95786061903323
ap1000,0.04,85.50564876713707
ap1000,0.04,82.13735444184137
ap1000,0.04,102.37742863724122
ap1000,0.04,80.77269371071156
ap1000,0.04,94.24297428413733
ap1000,0.04,87.2783255638188
ap1000,0.04,94.11626858752041
ap1000,0.04,93.9490390693626
ap1000,0.04,102.57118989883777
ap1000,0.04,97.94197986824715
ap1000,0.04,82.62394860764097
ap1000,0.04,89.1536665869086
ap1000,0.04,93.99984469555294
ap1000,0.04,84.92704295389058
ap1000,0.04,88.4216132176768
ap1000,0.04,88.62488429672877
ap1000,0.04,85.93281134817813
ap1000,0.04,102.74618458928562
ap1000,0.04,94.43316931870164
ap1000,0.04,87.13862253202718
ap1000,0.04,97.49893112333345
ap1000,0.04,94.95692583613567
ap1000,0.04,99.06337374786916
ap1000,0.04,104.1801541683058
ap1000,0.04,89.18598526118562
ap1000,0.04,97.99056243150818
ap1000,0.04,87.72160134609001
ap1000,0.04,88.35980055013067
ap1000,0.04,89.85781294713735
ap1000,0.04,89.94871934557422
